id_a,id_b,timestamp,x0,x1,x2,std_x0,std_x1,std_x2,trace_P,cross_cov_norm,trace_P_before,eig_min_P,sym_err_P,phi_trace,correction_norm,residual_norm,residual
0,1,1787690724.290976,-0.304364,-0.422563,0.074682,0.295704,0.294328,0.282305,0.253766,0.025823,0.303779,0.072890,0.000000,3.000000,0.092963,0.608667,0.465984;-0.119572;-0.372877
0,1,1787690724.591337,-0.332476,-0.425791,0.105877,0.282204,0.282808,0.262629,0.228593,0.038750,0.253846,0.059747,0.000000,3.000000,0.042116,0.430404,0.336559;-0.038780;-0.265465
1,3,1787690724.620942,-0.332227,-0.425753,0.105870,0.282176,0.282795,0.262529,0.228518,0.247717,0.228593,0.059694,0.000000,3.000000,0.000252,0.062827,-0.061383;-0.013388
0,3,1787690724.623988,-0.331431,-0.425357,0.106736,0.282002,0.282722,0.261813,0.228002,0.287408,0.228518,0.059322,0.000000,3.000000,0.001240,0.090514,-0.076770;-0.047950
1,3,1787690724.691302,-0.331431,-0.425357,0.106736,0.282072,0.282722,0.261889,0.228082,0.287408,0.228082,0.059351,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690724.791272,-0.347940,-0.429531,0.122247,0.273199,0.275658,0.249657,0.212953,0.288333,0.228082,0.051930,0.000000,3.000000,0.023034,0.313433,0.252986;-0.013600;-0.184535
1,3,1787690724.891459,-0.347940,-0.429531,0.122247,0.273271,0.275659,0.249737,0.213033,0.288333,0.213033,0.051960,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690725.190237,-0.359330,-0.433654,0.132895,0.267055,0.270861,0.241326,0.202922,0.288839,0.213134,0.047167,0.000000,3.000000,0.016128,0.271521,0.214067;-0.001511;-0.167022
0,3,1787690725.290730,-0.359330,-0.433654,0.132895,0.267055,0.270861,0.241326,0.202922,0.288839,0.202922,0.047167,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690725.391685,-0.359330,-0.433654,0.132895,0.267128,0.270862,0.241408,0.203002,0.288839,0.203002,0.047197,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690725.490804,-0.367975,-0.437475,0.140668,0.262420,0.267390,0.235126,0.195646,0.289130,0.203002,0.043808,0.000000,3.000000,0.012237,0.244675,0.192272;0.006586;-0.151175
0,3,1787690725.590617,-0.367975,-0.437475,0.140668,0.262494,0.267392,0.235211,0.195726,0.289130,0.195726,0.043837,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690725.991181,-0.367975,-0.437475,0.140668,0.262644,0.267395,0.235381,0.195886,0.289130,0.195886,0.043896,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690726.090748,-0.374195,-0.440616,0.146413,0.258979,0.264769,0.230504,0.190305,0.289279,0.195886,0.041370,0.000000,3.000000,0.009031,0.208154,0.160208;0.008571;-0.132620
0,3,1787690726.190834,-0.374195,-0.440616,0.146413,0.259054,0.264771,0.230591,0.190385,0.289279,0.190385,0.041400,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690726.290821,-0.379176,-0.443404,0.151042,0.256129,0.262716,0.226710,0.186019,0.289352,0.190385,0.039453,0.000000,3.000000,0.007349,0.192076,0.146032;0.010991;-0.124285
0,3,1787690726.391216,-0.379176,-0.443404,0.151042,0.256205,0.262717,0.226798,0.186099,0.289352,0.186099,0.039482,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690726.490962,-0.379176,-0.443404,0.151042,0.256205,0.262717,0.226798,0.186099,0.289352,0.186099,0.039482,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690726.890763,-0.383027,-0.445603,0.154323,0.253956,0.261069,0.223780,0.182728,0.289369,0.186259,0.037983,0.000000,3.000000,0.005517,0.159474,0.124791;0.011467;-0.098629
0,3,1787690726.990396,-0.383027,-0.445603,0.154323,0.254033,0.261071,0.223869,0.182808,0.289369,0.182808,0.038013,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690727.193114,-0.383027,-0.445603,0.154323,0.254110,0.261073,0.223959,0.182888,0.289369,0.182888,0.038043,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690727.491099,-0.386522,-0.447849,0.157653,0.252176,0.259718,0.221367,0.180049,0.289355,0.182968,0.036794,0.000000,3.000000,0.005325,0.170570,0.126819;0.013392;-0.113277
0,3,1787690727.591253,-0.386522,-0.447849,0.157653,0.252253,0.259720,0.221457,0.180129,0.289355,0.180129,0.036824,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690727.691036,-0.386522,-0.447849,0.157653,0.252253,0.259720,0.221457,0.180129,0.289355,0.180129,0.036824,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690727.791437,-0.386522,-0.447849,0.157653,0.252330,0.259721,0.221547,0.180209,0.289355,0.180209,0.036854,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690728.089217,-0.389219,-0.449418,0.159702,0.250697,0.258591,0.219342,0.177829,0.289310,0.180289,0.035812,0.000000,3.000000,0.003733,0.128004,0.103805;0.011306;-0.074039
1,3,1787690728.189341,-0.389219,-0.449418,0.159702,0.250775,0.258593,0.219433,0.177909,0.289310,0.177909,0.035842,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690728.388760,-0.391730,-0.451142,0.162009,0.249383,0.257635,0.217544,0.175893,0.289253,0.177989,0.034963,0.000000,3.000000,0.003821,0.144121,0.107728;0.014190;-0.094679
0,3,1787690728.490618,-0.391730,-0.451142,0.162009,0.249383,0.257635,0.217544,0.175893,0.289253,0.175893,0.034963,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
0,1,1787690728.590713,-0.393634,-0.452469,0.163766,0.248188,0.256814,0.215912,0.174168,0.289185,0.175973,0.034215,0.000000,3.000000,0.002912,0.118070,0.088290;0.011365;-0.077565
0,3,1787690728.690591,-0.393634,-0.452469,0.163766,0.248188,0.256814,0.215912,0.174168,0.289185,0.174168,0.034215,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
1,3,1787690728.791357,-0.393634,-0.452469,0.163766,0.248266,0.256816,0.216005,0.174248,0.289185,0.174248,0.034245,0.000000,3.000000,0.000000,0.000000,0.000000;0.000000
