id_a,id_b,timestamp,x0,x1,x2,std_x0,std_x1,std_x2,trace_P,cross_cov_norm,cc_0_1,cc_0_2,cc_0_3,cc_1_2,cc_1_3,cc_2_3,trace_P_before,eig_min_P,sym_err_P,phi_trace,correction_norm,residual_norm,residual
0,1,1787861841.279524,0.555353,-0.009982,-0.045216,0.296355,0.294334,0.295456,0.261753,0.026023,0.026023,0.000000,0.000000,0.000000,0.000000,0.000000,0.304740,0.085464,0.000000,3.000000,0.072168,0.623291,0.473150;-0.116591;-0.388622
0,3,1787861841.364828,0.555392,-0.009761,-0.045032,0.296342,0.294297,0.295425,0.261705,0.280944,0.025885,0.000000,0.206466,0.000000,0.048593,0.000000,0.261753,0.085463,0.000000,3.000000,0.000291,0.072924,-0.054773;-0.048144
0,1,1787861841.466159,0.582858,-0.006670,-0.066463,0.282740,0.282745,0.280071,0.238326,0.283354,0.038861,0.000000,0.174077,0.000000,0.070415,0.000000,0.261705,0.075419,0.000000,3.000000,0.034975,0.416108,0.327478;-0.038219;-0.253858
0,3,1787861841.564977,0.582882,-0.006710,-0.066535,0.282797,0.282697,0.280003,0.238293,0.266739,0.038674,0.000000,0.162689,0.000000,0.065376,0.000000,0.238406,0.075434,0.000000,3.000000,0.000086,0.015605,-0.006548;-0.014165
0,1,1787861841.665850,0.600648,-0.001629,-0.082106,0.273891,0.275560,0.269063,0.223345,0.268761,0.046538,0.000000,0.145438,0.000000,0.076785,0.000000,0.238313,0.068257,0.000000,3.000000,0.024165,0.353558,0.273407;-0.008670;-0.224001
0,3,1787861841.765213,0.600678,-0.001691,-0.082213,0.273887,0.275542,0.269008,0.223303,0.263705,0.046486,0.000000,0.142328,0.000000,0.074890,0.000000,0.223345,0.068251,0.000000,3.000000,0.000126,0.020187,0.013109;-0.015352
0,1,1787861841.865373,0.612252,0.002703,-0.092763,0.267659,0.270707,0.260763,0.212921,0.265096,0.051790,0.000000,0.131356,0.000000,0.081951,0.000000,0.223398,0.062916,0.000000,3.000000,0.016266,0.281585,0.217884;0.001400;-0.178368
0,3,1787861841.964590,0.612273,0.002658,-0.092841,0.267675,0.270699,0.260755,0.212921,0.262742,0.051771,0.000000,0.130017,0.000000,0.080955,0.000000,0.212940,0.062920,0.000000,3.000000,0.000092,0.024239,0.017529;-0.016741
0,1,1787861842.067230,0.619677,0.005956,-0.100376,0.262996,0.267205,0.254181,0.205173,0.263729,0.055596,0.000000,0.122397,0.000000,0.085737,0.000000,0.212943,0.058758,0.000000,3.000000,0.011067,0.221354,0.166182;0.001884;-0.146210
0,3,1787861842.162028,0.619683,0.005948,-0.100392,0.262996,0.267201,0.254169,0.205166,0.262406,0.055588,0.000000,0.121689,0.000000,0.085129,0.000000,0.205174,0.058757,0.000000,3.000000,0.000019,0.014124,-0.011224;-0.008574
1,3,1787861842.264644,0.612509,0.001763,-0.107694,0.259882,0.266376,0.252357,0.202179,0.257234,0.057755,0.000000,0.102585,0.000000,0.096894,0.000000,0.205166,0.057995,0.000000,3.000000,0.011059,0.241194,0.123166;0.207376
0,1,1787861842.365378,0.619000,0.005698,-0.113055,0.256903,0.263908,0.247422,0.196864,0.258713,0.060172,0.000000,0.100090,0.000000,0.098451,0.000000,0.202231,0.054866,0.000000,3.000000,0.009293,0.210822,0.177993;0.031099;-0.108615
0,3,1787861842.467017,0.618672,0.005466,-0.113499,0.256837,0.263876,0.247343,0.196774,0.259235,0.060232,0.000000,0.102357,0.000000,0.096646,0.000000,0.196884,0.054838,0.000000,3.000000,0.000598,0.063384,-0.049034;-0.040165
1,3,1787861842.564008,0.614608,0.003766,-0.116766,0.255299,0.263547,0.246592,0.195442,0.257328,0.061200,0.000000,0.093106,0.000000,0.103021,0.000000,0.196774,0.054492,0.000000,3.000000,0.005485,0.178766,0.109515;0.141293
0,1,1787861842.665362,0.619796,0.007156,-0.120609,0.253186,0.261639,0.242628,0.191427,0.258561,0.062962,0.000000,0.091912,0.000000,0.103687,0.000000,0.195522,0.052010,0.000000,3.000000,0.007293,0.189608,0.167279;0.037836;-0.080855
0,3,1787861842.765603,0.619180,0.006815,-0.121293,0.253050,0.261600,0.242514,0.191282,0.259356,0.063061,0.000000,0.094438,0.000000,0.101857,0.000000,0.191447,0.051960,0.000000,3.000000,0.000981,0.084773,-0.068308;-0.050204
0,1,1787861843.565916,0.623504,0.009732,-0.124731,0.251398,0.260051,0.239226,0.188056,0.260304,0.064513,0.000000,0.093226,0.000000,0.102565,0.000000,0.191448,0.049905,0.000000,3.000000,0.006247,0.177872,0.154787;0.034607;-0.080510
0,3,1787861843.665591,0.623399,0.009630,-0.124904,0.251435,0.260037,0.239274,0.188091,0.261627,0.064548,0.000000,0.097544,0.000000,0.099535,0.000000,0.188149,0.049925,0.000000,3.000000,0.000226,0.037492,-0.019835;-0.031815
1,3,1787861843.764277,0.620575,0.008592,-0.127159,0.250581,0.259879,0.238829,0.187367,0.258872,0.065050,0.000000,0.087163,0.000000,0.106659,0.000000,0.188091,0.049721,0.000000,3.000000,0.003760,0.161016,0.105116;0.121971
0,1,1787861844.163551,0.624364,0.011131,-0.129669,0.249243,0.258607,0.235981,0.184686,0.259731,0.066204,0.000000,0.086626,0.000000,0.106901,0.000000,0.187452,0.047975,0.000000,3.000000,0.005206,0.167750,0.152289;0.039442;-0.058244
0,3,1787861844.265074,0.623676,0.010894,-0.130233,0.249112,0.258587,0.235903,0.184575,0.262057,0.066279,0.000000,0.091869,0.000000,0.103910,0.000000,0.184688,0.047937,0.000000,3.000000,0.000920,0.092615,-0.083096;-0.040897
1,3,1787861844.364156,0.621629,0.010255,-0.131721,0.248577,0.258498,0.235631,0.184133,0.260288,0.066586,0.000000,0.085183,0.000000,0.108518,0.000000,0.184575,0.047815,0.000000,3.000000,0.002611,0.141894,0.099836;0.100830
0,1,1787861844.464503,0.625065,0.012672,-0.134167,0.247510,0.257431,0.233188,0.181908,0.261021,0.067531,0.000000,0.084851,0.000000,0.108639,0.000000,0.184215,0.046331,0.000000,3.000000,0.004862,0.171227,0.154739;0.040502;-0.061110
0,3,1787861844.565645,0.624193,0.012395,-0.134848,0.247346,0.257407,0.233095,0.181771,0.262425,0.067625,0.000000,0.088181,0.000000,0.106620,0.000000,0.181910,0.046286,0.000000,3.000000,0.001140,0.104711,-0.094931;-0.044187
1,3,1787861844.664114,0.622665,0.011965,-0.135908,0.247019,0.257352,0.232942,0.181511,0.261305,0.067824,0.000000,0.083699,0.000000,0.109782,0.000000,0.181801,0.046218,0.000000,3.000000,0.001910,0.127811,0.093563;0.087073
0,1,1787861844.764142,0.625601,0.013811,-0.137259,0.246079,0.256441,0.230743,0.179559,0.261937,0.068614,0.000000,0.083495,0.000000,0.109829,0.000000,0.181515,0.044909,0.000000,3.000000,0.003722,0.151819,0.143701;0.039519;-0.028935
0,3,1787861844.865033,0.624756,0.013546,-0.137913,0.245908,0.256417,0.230649,0.179419,0.263146,0.068709,0.000000,0.086464,0.000000,0.107973,0.000000,0.179559,0.044865,0.000000,3.000000,0.001101,0.101504,-0.091181;-0.044600
1,3,1787861844.964208,0.623459,0.013196,-0.138813,0.245691,0.256378,0.230565,0.179254,0.262436,0.068862,0.000000,0.083523,0.000000,0.110051,0.000000,0.179479,0.044827,0.000000,3.000000,0.001617,0.122267,0.090702;0.081990
0,1,1787861845.064798,0.625892,0.014634,-0.139633,0.244956,0.255592,0.228687,0.177628,0.262977,0.069534,0.000000,0.083354,0.000000,0.110089,0.000000,0.179313,0.043706,0.000000,3.000000,0.002943,0.134749,0.129073;0.036343;-0.013287
0,3,1787861845.166510,0.624960,0.014383,-0.140304,0.244815,0.255572,0.228616,0.177517,0.263902,0.069617,0.000000,0.085592,0.000000,0.108692,0.000000,0.177639,0.043672,0.000000,3.000000,0.001175,0.115243,-0.107474;-0.041597
1,3,1787861845.264233,0.623817,0.014098,-0.141073,0.244611,0.255543,0.228516,0.177356,0.263183,0.069735,0.000000,0.082855,0.000000,0.110593,0.000000,0.177530,0.043628,0.000000,3.000000,0.001407,0.119973,0.091453;0.077652
0,1,1787861845.364942,0.626342,0.015772,-0.142311,0.243946,0.254855,0.226806,0.175901,0.263658,0.070314,0.000000,0.082737,0.000000,0.110607,0.000000,0.177366,0.042623,0.000000,3.000000,0.003272,0.155776,0.147104;0.042471;-0.028686
0,3,1787861845.465663,0.625411,0.015537,-0.142964,0.243838,0.254838,0.226764,0.175821,0.264572,0.070390,0.000000,0.085003,0.000000,0.109179,0.000000,0.175933,0.042602,0.000000,3.000000,0.001161,0.118924,-0.112327;-0.039059
0,1,1787861845.862017,0.627595,0.016994,-0.144089,0.243296,0.254234,0.225272,0.174576,0.264963,0.070904,0.000000,0.084794,0.000000,0.109265,0.000000,0.175877,0.041722,0.000000,3.000000,0.002856,0.143777,0.135589;0.037406;-0.029801
0,3,1787861845.968122,0.627150,0.016870,-0.144421,0.243254,0.254223,0.225262,0.174544,0.265629,0.070946,0.000000,0.086852,0.000000,0.107831,0.000000,0.174608,0.041717,0.000000,3.000000,0.000568,0.080375,-0.074213;-0.030862
1,3,1787861846.063796,0.625816,0.016555,-0.145327,0.243046,0.254199,0.225161,0.174386,0.264325,0.071053,0.000000,0.083340,0.000000,0.109933,0.000000,0.174544,0.041669,0.000000,3.000000,0.001644,0.140761,0.110008;0.087818
0,1,1787861846.161969,0.627560,0.017797,-0.146387,0.242579,0.253663,0.223819,0.173284,0.264685,0.071504,0.000000,0.083212,0.000000,0.109969,0.000000,0.174438,0.040882,0.000000,3.000000,0.002389,0.125509,0.116966;0.032582;-0.031780
0,3,1787861846.264956,0.627028,0.017655,-0.146775,0.242489,0.253652,0.223771,0.173213,0.265495,0.071552,0.000000,0.085147,0.000000,0.108796,0.000000,0.173284,0.040861,0.000000,3.000000,0.000674,0.086816,-0.080287;-0.033031
1,3,1787861846.364170,0.626014,0.017418,-0.147474,0.242369,0.253633,0.223725,0.173126,0.264720,0.071634,0.000000,0.082622,0.000000,0.110464,0.000000,0.173249,0.040839,0.000000,3.000000,0.001254,0.124286,0.097104;0.077574
0,1,1787861847.064530,0.627900,0.018538,-0.148078,0.242173,0.253159,0.222744,0.172352,0.265050,0.072040,0.000000,0.082532,0.000000,0.110478,0.000000,0.173393,0.040216,0.000000,3.000000,0.002275,0.136750,0.131432;0.036232;-0.010654
0,3,1787861847.164680,0.627306,0.018404,-0.148483,0.242126,0.253151,0.222735,0.172321,0.266521,0.072081,0.000000,0.085728,0.000000,0.108711,0.000000,0.172379,0.040209,0.000000,3.000000,0.000731,0.101983,-0.097624;-0.029497
1,3,1787861847.264053,0.626291,0.018185,-0.149167,0.241985,0.253137,0.222665,0.172215,0.265149,0.072152,0.000000,0.082189,0.000000,0.110808,0.000000,0.172321,0.040176,0.000000,3.000000,0.001243,0.129337,0.103006;0.078217
0,1,1787861847.365406,0.628032,0.019260,-0.149783,0.241604,0.252705,0.221535,0.171310,0.265448,0.072514,0.000000,0.082123,0.000000,0.110810,0.000000,0.172245,0.039524,0.000000,3.000000,0.002137,0.135259,0.129599;0.036698;-0.012349
0,3,1787861847.465290,0.627416,0.019118,-0.150213,0.241522,0.252697,0.221491,0.171247,0.266567,0.072558,0.000000,0.084598,0.000000,0.109411,0.000000,0.171310,0.039504,0.000000,3.000000,0.000763,0.102251,-0.097414;-0.031075
1,3,1787861847.564344,0.626524,0.018931,-0.150812,0.241488,0.252686,0.221521,0.171238,0.265743,0.072617,0.000000,0.082226,0.000000,0.110899,0.000000,0.171328,0.039511,0.000000,3.000000,0.001091,0.124748,0.100356;0.074098
0,1,1787861847.665535,0.628170,0.019902,-0.151306,0.241122,0.252295,0.220455,0.170393,0.266012,0.072943,0.000000,0.082166,0.000000,0.110902,0.000000,0.171238,0.038906,0.000000,3.000000,0.001974,0.134199,0.129384;0.034617;-0.008421
0,3,1787861847.764758,0.627529,0.019763,-0.151746,0.241106,0.252289,0.220482,0.170394,0.266874,0.072984,0.000000,0.084101,0.000000,0.109789,0.000000,0.170454,0.038913,0.000000,3.000000,0.000790,0.109201,-0.104824;-0.030608
1,3,1787861847.864282,0.626695,0.019593,-0.152304,0.241019,0.252278,0.220444,0.170330,0.266298,0.073037,0.000000,0.082382,0.000000,0.110879,0.000000,0.170410,0.038895,0.000000,3.000000,0.001018,0.123572,0.100352;0.072107
0,1,1787861847.965386,0.628062,0.020223,-0.152254,0.240690,0.251923,0.219465,0.169562,0.266539,0.073332,0.000000,0.082322,0.000000,0.110886,0.000000,0.170330,0.038342,0.000000,3.000000,0.001506,0.116866,0.111316;0.030528;0.018292
0,3,1787861848.065058,0.627531,0.020098,-0.152635,0.240678,0.251917,0.219491,0.169564,0.267206,0.073368,0.000000,0.083824,0.000000,0.110013,0.000000,0.169618,0.038349,0.000000,3.000000,0.000665,0.097396,-0.091689;-0.032850
1,3,1787861848.162111,0.626801,0.019946,-0.153137,0.240589,0.251907,0.219440,0.169494,0.266654,0.073414,0.000000,0.082116,0.000000,0.111124,0.000000,0.169564,0.038327,0.000000,3.000000,0.000899,0.117407,0.094957;0.069048
0,1,1787861848.262264,0.628124,0.020516,-0.152956,0.240317,0.251583,0.218566,0.168818,0.266876,0.073682,0.000000,0.082070,0.000000,0.111124,0.000000,0.169519,0.037830,0.000000,3.000000,0.001452,0.120656,0.112844;0.032817;0.027334
0,3,1787861848.365335,0.627598,0.020314,-0.153342,0.240196,0.251554,0.218504,0.168718,0.266821,0.073727,0.000000,0.083260,0.000000,0.109833,0.000000,0.168818,0.037809,0.000000,3.000000,0.000683,0.079642,-0.071311;-0.035462
1,3,1787861848.464144,0.626934,0.020159,-0.153815,0.240194,0.251545,0.218542,0.168728,0.266518,0.073768,0.000000,0.081823,0.000000,0.110927,0.000000,0.168798,0.037822,0.000000,3.000000,0.000830,0.111001,0.088416;0.067111
0,1,1787861848.565025,0.628077,0.020636,-0.153644,0.239957,0.251249,0.217743,0.168117,0.266722,0.074013,0.000000,0.081782,0.000000,0.110926,0.000000,0.168760,0.037367,0.000000,3.000000,0.001250,0.109326,0.102376;0.028763;0.025375
0,3,1787861848.665800,0.627537,0.020537,-0.154014,0.239917,0.251245,0.217732,0.168092,0.267566,0.074044,0.000000,0.083348,0.000000,0.110174,0.000000,0.168133,0.037359,0.000000,3.000000,0.000662,0.107358,-0.103181;-0.029654
