id_a,id_b,timestamp,x0,x1,x2,x3,std_x0,std_x1,std_x2,std_x3,trace_P,cross_cov_norm,cc_0_1,cc_0_2,cc_0_3,cc_1_2,cc_1_3,cc_2_3,trace_P_before,eig_min_P,sym_err_P,phi_trace,correction_norm,residual_norm,residual
0,1,1787861841.279553,2.000000,0.000000,0.000000,0.000000,7.030516,7.030516,0.883176,0.883176,100.416315,0.026023,0.026023,0.000000,0.000000,0.000000,0.000000,0.000000,100.416315,0.190599,0.000000,4.000000,0.000000,0.623291,0.473150;-0.116591;-0.388622
0,3,1787861841.364841,1.643961,-0.363716,-0.038804,-0.039641,0.768529,0.976446,0.447087,0.451881,1.948168,0.280944,0.025885,0.000000,0.206466,0.000000,0.048593,0.000000,100.416315,0.189529,0.000000,4.000000,0.511987,0.072924,-0.054773;-0.048144
0,1,1787861841.466160,1.603532,-0.297550,-0.004312,0.007058,0.782991,0.959717,0.457994,0.461804,1.957153,0.288616,0.038861,0.000000,0.177825,0.000000,0.071931,0.000000,2.051608,0.184566,0.000000,4.000000,0.077980,0.416108,0.327478;-0.038219;-0.253858
0,3,1787861841.564958,1.601022,-0.305871,-0.004770,0.005629,0.580815,0.766165,0.448368,0.451256,1.329021,0.271102,0.038655,0.000000,0.166424,0.000000,0.066023,0.000000,1.957153,0.181703,0.000000,4.000000,0.008820,0.015605,-0.006548;-0.014165
0,1,1787861841.666993,1.577501,-0.271982,-0.002285,0.003333,0.600915,0.764133,0.459314,0.461730,1.369162,0.277569,0.046519,0.000000,0.151726,0.000000,0.079324,0.000000,1.419328,0.164873,0.000000,4.000000,0.041449,0.353558,0.273407;-0.008670;-0.224001
0,3,1787861841.765146,1.582359,-0.277011,-0.000827,0.001962,0.506397,0.677153,0.448793,0.450896,1.119696,0.271440,0.046451,0.000000,0.148613,0.000000,0.076376,0.000000,1.369162,0.159733,0.000000,4.000000,0.007273,0.020187,0.013109;-0.015352
0,1,1787861841.866011,1.567257,-0.257673,-0.001384,0.001749,0.534218,0.686207,0.459751,0.461571,1.180687,0.276803,0.051754,0.000000,0.139648,0.000000,0.085401,0.000000,1.213815,0.138233,0.000000,4.000000,0.024637,0.281585,0.217884;0.001400;-0.178368
0,3,1787861841.964603,1.572254,-0.261694,0.000839,0.000130,0.469922,0.628836,0.445568,0.447442,1.014997,0.273247,0.051723,0.000000,0.138310,0.000000,0.083215,0.000000,1.180687,0.133896,0.000000,4.000000,0.006979,0.024239,0.017529;-0.016741
0,1,1787861842.066113,1.562334,-0.248971,-0.000886,0.001088,0.505309,0.646843,0.456614,0.458286,1.092266,0.277858,0.055548,0.000000,0.132395,0.000000,0.089915,0.000000,1.116467,0.114798,0.000000,4.000000,0.016194,0.221354,0.166182;0.001884;-0.146210
0,3,1787861842.162175,1.560097,-0.251376,-0.002165,-0.000204,0.451953,0.600466,0.437940,0.440006,0.950217,0.275220,0.055531,0.000000,0.131691,0.000000,0.087998,0.000000,1.092266,0.112249,0.000000,4.000000,0.003754,0.014124,-0.011224;-0.008574
1,3,1787861842.265485,1.590979,-0.192874,0.014001,0.018792,0.443717,0.559031,0.438600,0.440522,0.895829,0.270245,0.058061,0.000000,0.110318,0.000000,0.101866,0.000000,1.058184,0.091877,0.000000,4.000000,0.070181,0.241194,0.123166;0.207376
0,1,1787861842.365915,1.585957,-0.190162,0.000829,-0.000339,0.467698,0.575268,0.449816,0.451677,0.956022,0.273094,0.060476,0.000000,0.107938,0.000000,0.104680,0.000000,0.961603,0.087624,0.000000,4.000000,0.005778,0.210822,0.177993;0.031099;-0.108615
0,3,1787861842.466977,1.577612,-0.199410,-0.005308,-0.007192,0.424778,0.543082,0.425587,0.427971,0.839659,0.272177,0.060588,0.000000,0.110178,0.000000,0.101411,0.000000,0.956022,0.086628,0.000000,4.000000,0.015484,0.063384,-0.049034;-0.040165
1,3,1787861842.564958,1.600980,-0.170154,0.013331,0.013047,0.434439,0.536488,0.423750,0.427241,0.838655,0.271034,0.061753,0.000000,0.099241,0.000000,0.110040,0.000000,0.951240,0.073809,0.000000,4.000000,0.041832,0.178766,0.109515;0.141293
0,1,1787861842.665323,1.598566,-0.169452,0.014814,0.012766,0.434231,0.534847,0.423618,0.427034,0.836428,0.272249,0.063512,0.000000,0.098008,0.000000,0.110729,0.000000,0.838655,0.073561,0.000000,4.000000,0.002933,0.189608,0.167279;0.037836;-0.080855
0,3,1787861842.765341,1.586974,-0.181013,-0.007996,-0.008252,0.449982,0.551977,0.413787,0.417082,0.852339,0.273977,0.063688,0.000000,0.100985,0.000000,0.109304,0.000000,0.959986,0.065221,0.000000,4.000000,0.020001,0.084773,-0.068308;-0.050204
0,1,1787861843.566185,1.584816,-0.180427,0.000637,-0.000185,0.717998,0.790137,0.470311,0.473201,1.584950,0.284029,0.065137,0.000000,0.101954,0.000000,0.116937,0.000000,1.586817,0.054523,0.000000,4.000000,0.002332,0.177872,0.154787;0.034607;-0.080510
0,3,1787861843.665148,1.578071,-0.196722,-0.003339,-0.009864,0.545117,0.636413,0.379068,0.382072,0.991846,0.278721,0.065250,0.000000,0.106200,0.000000,0.107271,0.000000,1.584950,0.054510,0.000000,4.000000,0.020507,0.037492,-0.019835;-0.031815
1,3,1787861843.765755,1.615975,-0.159682,0.019030,0.016824,0.509115,0.591883,0.357804,0.362319,0.868823,0.274466,0.065900,0.000000,0.093025,0.000000,0.115541,0.000000,1.143304,0.052426,0.000000,4.000000,0.058770,0.161016,0.105116;0.121971
0,1,1787861844.166377,1.615562,-0.159681,0.000977,-0.000062,0.617111,0.688531,0.384664,0.388824,1.154051,0.277496,0.067050,0.000000,0.092125,0.000000,0.118322,0.000000,1.154769,0.050503,0.000000,4.000000,0.001063,0.167750,0.152289;0.039442;-0.058244
0,3,1787861844.265338,1.588559,-0.179213,-0.013568,-0.010751,0.502371,0.592240,0.332327,0.335982,0.826451,0.275674,0.067230,0.000000,0.097227,0.000000,0.111217,0.000000,1.154051,0.050500,0.000000,4.000000,0.037901,0.092615,-0.083096;-0.040897
1,3,1787861844.365409,1.618102,-0.154863,0.013423,0.010140,0.479263,0.565173,0.325453,0.330214,0.764075,0.273310,0.067604,0.000000,0.089084,0.000000,0.116622,0.000000,0.944411,0.049889,0.000000,4.000000,0.041818,0.141894,0.099836;0.100830
0,1,1787861844.464572,1.617878,-0.154891,0.014270,0.010074,0.479224,0.564856,0.325390,0.330119,0.763576,0.274078,0.068545,0.000000,0.088860,0.000000,0.116673,0.000000,0.764075,0.049862,0.000000,4.000000,0.000879,0.171227,0.154739;0.040502;-0.061110
0,3,1787861844.565650,1.597302,-0.169113,-0.010205,-0.007275,0.466340,0.558810,0.319153,0.323201,0.736060,0.274265,0.068722,0.000000,0.092129,0.000000,0.113413,0.000000,0.874066,0.049417,0.000000,4.000000,0.027976,0.104711,-0.094931;-0.044187
1,3,1787861844.664794,1.618440,-0.153241,0.000566,0.000129,0.419283,0.513658,0.301846,0.306920,0.624954,0.272549,0.068955,0.000000,0.087124,0.000000,0.116470,0.000000,0.736060,0.049310,0.000000,4.000000,0.029488,0.127811,0.093563;0.087073
0,1,1787861844.765309,1.618727,-0.153204,0.000778,0.000111,0.456607,0.545884,0.317920,0.322717,0.711698,0.273546,0.069740,0.000000,0.086587,0.000000,0.117219,0.000000,0.712071,0.048764,0.000000,4.000000,0.000837,0.151819,0.143701;0.039519;-0.028935
0,3,1787861844.865165,1.602818,-0.164741,-0.008227,-0.006646,0.414113,0.513095,0.298563,0.302731,0.615541,0.273368,0.069910,0.000000,0.089459,0.000000,0.113999,0.000000,0.711698,0.048762,0.000000,4.000000,0.022648,0.101504,-0.091181;-0.044600
1,3,1787861844.965533,1.619690,-0.152652,0.007829,0.005132,0.418207,0.514173,0.305083,0.309774,0.628306,0.272603,0.070081,0.000000,0.085957,0.000000,0.116565,0.000000,0.701068,0.048000,0.000000,4.000000,0.022769,0.122267,0.090702;0.081990
0,1,1787861845.065105,1.619974,-0.152593,0.008382,0.005254,0.418160,0.513977,0.305045,0.309725,0.628013,0.273173,0.070749,0.000000,0.085880,0.000000,0.116544,0.000000,0.628306,0.047991,0.000000,4.000000,0.000636,0.134749,0.129073;0.036343;-0.013287
0,3,1787861845.166218,1.602759,-0.163121,-0.009092,-0.005710,0.422784,0.521268,0.307600,0.311590,0.642173,0.273371,0.070891,0.000000,0.087968,0.000000,0.114512,0.000000,0.717972,0.047363,0.000000,4.000000,0.022857,0.115243,-0.107474;-0.041597
1,3,1787861845.264618,1.618934,-0.152254,-0.000183,-0.000213,0.391044,0.491271,0.294697,0.299389,0.570744,0.272520,0.071017,0.000000,0.085175,0.000000,0.116329,0.000000,0.642173,0.047302,0.000000,4.000000,0.022120,0.119973,0.091453;0.077652
0,1,1787861845.365191,1.619336,-0.152214,0.000561,0.000078,0.426806,0.521908,0.311171,0.315612,0.650991,0.273115,0.071592,0.000000,0.084783,0.000000,0.116740,0.000000,0.651235,0.046658,0.000000,4.000000,0.000696,0.155776,0.147104;0.042471;-0.028686
0,3,1787861845.465631,1.602263,-0.162015,-0.009824,-0.005962,0.394177,0.496526,0.294749,0.298707,0.578017,0.273141,0.071719,0.000000,0.086967,0.000000,0.114455,0.000000,0.650991,0.046658,0.000000,4.000000,0.023062,0.118924,-0.112327;-0.039059
0,1,1787861845.862013,1.602060,-0.162089,0.000128,-0.000019,0.471983,0.564023,0.326919,0.330492,0.756990,0.273733,0.072229,0.000000,0.086694,0.000000,0.114810,0.000000,0.757242,0.045878,0.000000,4.000000,0.000252,0.143777,0.135589;0.037406;-0.029801
0,3,1787861845.966181,1.586393,-0.172427,-0.008252,-0.005408,0.463894,0.558569,0.319440,0.322663,0.733351,0.273532,0.072300,0.000000,0.088856,0.000000,0.112376,0.000000,0.871246,0.045795,0.000000,4.000000,0.021206,0.080375,-0.074213;-0.030862
1,3,1787861846.065538,1.612099,-0.156550,0.013308,0.007643,0.436462,0.529753,0.316214,0.319983,0.673517,0.272095,0.072408,0.000000,0.085280,0.000000,0.114407,0.000000,0.795724,0.048975,0.000000,4.000000,0.033888,0.140761,0.110008;0.087818
0,1,1787861846.162143,1.612031,-0.156589,0.013467,0.007636,0.436441,0.529590,0.316210,0.319979,0.673321,0.272465,0.072857,0.000000,0.085190,0.000000,0.114419,0.000000,0.673517,0.048971,0.000000,4.000000,0.000177,0.125509,0.116966;0.032582;-0.031780
0,3,1787861846.265414,1.597885,-0.165772,-0.007441,-0.004828,0.437360,0.532801,0.315753,0.319417,0.676888,0.272665,0.072929,0.000000,0.087101,0.000000,0.112636,0.000000,0.771147,0.048150,0.000000,4.000000,0.019056,0.086816,-0.080287;-0.033031
